name,std_unique,intersection,native_unique,std_total,native_total
HCCF $\bigcup$ PAFVIN,81,1414,1167,1495,2581
HCCF Union,90,1375,950,1465,2325
HCCF Feed,33,440,622,473,1062
HCCF Large agg.,43,907,802,950,1709
HCCF Small agg.,32,732,658,764,1390
HCCF mAb,9,192,401,201,593
HCCF SPF 1,77,594,418,671,1012
HCCF SPF 2,504,0,0,504,0
PAFVIN Union,15,599,1139,614,1738
PAFVIN Feed,2,8,96,10,104
PAFVIN Large agg.,18,593,1121,611,1714
PAFVIN Small agg.,6,120,666,126,786
PAFVIN mAb,0,0,2,0,2
